,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
RNF130,36.005953772663545,0.11702578368944702,0.23114005288840075,0.8284531808071618,0.4074138994512251,0.6573245196575388
MAPK9,3.002481994996056,-0.2589348156712229,0.15219899029284428,-1.952242029159606,0.05090947642910143,0.15354935174043025
CTB-129O4.1,0.11096961628347939,0.011387895344264263,0.2904103389905363,0.014426424775820462,0.9884897776597416,
GFPT2,0.5487436214423058,-1.590910870129941,0.4381168640999185,-2.9590064303621735,0.003086326611804176,0.016431444897433495
CNOT6,2.2474436601249055,-0.16158423255836635,0.11575528097409385,-1.5354442119229494,0.1246747507220484,0.2979112526583078
SCGB3A1,0.4159198857637818,-0.26726017115972384,0.5026964311395965,-0.6271609317041894,0.5305537496301025,0.7656440127582241
FLT4,0.2886213676082497,-0.11897497292371438,0.34416524448061403,-0.46173440168749763,0.6442717977535899,0.8468521717976224
MGAT1,26.267380303563627,-0.03197647038365011,0.146990402060956,-0.2306998708795207,0.817547973843603,0.9380207928777069
LINC00847,2.4004719304395836,-0.09461722443952568,0.1308613968093186,-0.807918686856372,0.41913739309301956,0.668828447213968
ZFP62,2.650421808261951,0.025650856473486264,0.12406408967177418,0.24178225472299325,0.8089488897045384,0.9332940957917585
BTNL8,0.04413224249655954,0.008069268200471944,0.4044589709581573,0.08521611640075423,0.9320895781517022,
BTNL9,0.27664698815511357,-0.014917552419718543,0.35315957479934856,-0.04115767425806163,0.9671701961095946,0.9922232719914861
CTC-338M12.2,0.02928802413724964,-0.0017443668816007197,0.40590459787781713,0.015609599548636477,0.9875458472841888,
CTC-338M12.5,0.5364019562272175,-0.24632552410008624,0.21207439924198934,-1.3443635593371126,0.17883085158745027,0.3843927005449252
TRIM7,0.2713060172901202,0.245619548093534,0.4560822914568912,1.1157312616312551,0.2645371848453242,0.5005703285369245
CTC-338M12.6,0.029165090116343502,0.0028371407617290042,0.4221287786979357,0.032360031078691405,0.974184936360788,
CTC-338M12.1,0.001310809953238736,0.0003700466927484589,0.39152314061080784,0.016832458714823577,0.9865702752518004,
TRIM41,4.462242396938786,-0.2976413100276924,0.09769565296168972,-3.2423405056133956,0.0011855228495184751,0.0073613638430015
GNB2L1,848.6131658347158,-0.12799371432082302,0.09430612424323058,-1.4794709357106128,0.13901449366065455,0.3213000066972684
TRIM52,4.69833480261506,0.3667968826395374,0.12155727198201771,3.278388251599894,0.0010440169184574356,0.006609534934634225
AC138035.2,0.18853527636196477,-0.11630309256660207,0.34745042912740143,-0.4579710024373111,0.6469732744095056,0.8488601044090704
DUSP22,19.204833375022087,-0.033561998706695684,0.1639602325682166,-0.22756327045284813,0.8199857767058752,0.9392552623201895
IRF4,15.200480097163162,-0.6416297146751078,0.3907482418446895,-2.4452186685713566,0.014476434110299604,0.05767205392067648
EXOC2,6.026091724057871,-0.012711271709693021,0.11872891681870044,-0.08858462454218674,0.9294120278786151,0.9824426401049108
HUS1B,0.07659686693170654,-0.08054169751377978,0.314974731888078,-0.5208626962042973,0.602462423681494,
RP11-532F6.3,0.38462868425660535,1.0304668257188137,0.24794217017386083,3.658458326488628,0.00025373698861764745,0.0019874471712004113
RP11-532F6.4,0.03509333077857288,-0.020339229712082876,0.3542152560304876,-0.03057466289114171,0.9756087487842348,
RP11-157J24.2,0.0009879259566628312,0.003135968855980414,0.45794340178714843,0.017428279055802694,0.9860949491549793,
FOXC1,0.1437974052259226,0.0077671073596156485,0.35616486402492625,0.006611169506518637,0.9947250883475143,
GMDS,9.09107986530432,-0.3736973542192087,0.11943280229405069,-3.414383427462249,0.0006392654272003814,0.004337532099470994
GMDS-AS1,5.298940958243237,-0.32055505775601667,0.13162261384024615,-2.712996901330883,0.006667773006741462,0.03068566458633452
RP1-136B1.1,0.06813818747393985,0.030466169039847654,0.8755846086853524,0.13329048230468893,0.89396365445781,
MYLK4,0.024810154209597403,-0.024121879854629845,0.3514954824230726,-0.0012076312681126764,0.9990364498902328,
WRNIP1,6.373777409444551,0.256028987614377,0.22311678228707735,1.7677236012184947,0.07710712241433393,0.20927433541008694
SERPINB1,79.79259711186782,0.10997140805817257,0.18664926279009655,0.8343668041959789,0.4040743174569281,0.6536747179747062
SERPINB9P1,0.9749111941122307,0.25161447233929435,0.28739100166182796,1.3056728975204386,0.19166381845574287,0.40341382777306617
SERPINB9,14.239541543494198,-0.8838656887156899,0.12824606625850601,-7.00790841195166,2.419070670224496e-12,1.0006843190096276e-10
SERPINB6,25.606399305343984,0.2294745592250887,0.20398268032458083,1.5963999012854329,0.11039953817856576,0.2722408057063641
LINC01011,3.5158233110228103,0.028200030087476288,0.28843941846063514,2.361331954293193,0.018209422650929397,0.0693195825412243
NQO2,8.075291694288927,-0.17149560152013527,0.1574210706403928,-1.2881026439578616,0.19771023510613484,0.4119128249220817
RP1-90J20.8,0.8812273285246557,0.029547293922284265,0.34854212643812993,0.24995294007848787,0.8026237419906782,0.9306932737444312
RIPK1,8.02709155915442,0.05659905404805385,0.11829240593621557,0.5730675077990393,0.5665989862249239,0.7949495488746304
RP1-40E16.12,1.2116425788747158,-0.4493455650313601,0.16164314221851644,-2.9805530905709534,0.0028772835863831183,0.015494088182845854
BPHL,1.1577701483470308,0.3753581124354297,0.13675530949957948,2.95318584778158,0.0031451255040278034,0.016683487236484097
RP1-40E16.11,0.003827846102889852,0.013023768377479884,0.7464969299024962,0.03677723329582973,0.9706626269633619,
TUBB2A,9.889239343183517,-0.639194165864581,0.2717952081696692,-2.857191711621323,0.004274076024257029,0.021444280544577574
TUBB2B,0.11507544754399832,-0.06981047435661764,0.3455608781056569,-0.15863786746558828,0.873954192638557,
PSMG4,9.473085506748895,0.27083368873647956,0.0822723439127972,3.481474080162109,0.0004986620411876621,0.003519640320762747
SLC22A23,0.42836006071132404,-0.01806478472373795,0.328539744907071,-0.0662948785492089,0.9471430605824465,0.9874248822812478
