ligand_complex,receptor_complex,source,target,resources,n_resources,mean_lrscore,max_lrscore,min_lrscore
C5,C5AR1,Megakaryocytes/platelets,NK cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Megakaryocytes/platelets,Naive B cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Megakaryocytes/platelets,Plasma cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Megakaryocytes/platelets,Regulatory T cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Megakaryocytes/platelets,Tcm/Naive cytotoxic T cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Megakaryocytes/platelets,Tcm/Naive helper T cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Megakaryocytes/platelets,Tem/Effector helper T cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Megakaryocytes/platelets,Tem/Temra cytotoxic T cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Megakaryocytes/platelets,Tem/Trm cytotoxic T cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Megakaryocytes/platelets,pDC,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Memory B cells,CD16+ NK cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Memory B cells,DC2,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Memory B cells,Late erythroid,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Memory B cells,MAIT cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Memory B cells,Megakaryocyte precursor,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Memory B cells,Megakaryocytes/platelets,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
